,Metric,PRST,SPY
152,02/15/2023,-7.6,0.32
153,02/15/2024,20.1,0.69
154,02/16/2021,1.18,-0.09
155,02/16/2022,0.1,0.11
156,02/16/2023,-12.2,-1.38
157,02/16/2024,-1.26,-0.5
158,02/17/2021,-0.78,0.02
159,02/17/2022,0.0,-2.14
160,02/17/2023,8.16,-0.25
161,02/18/2020,,-0.26
162,02/18/2021,-0.39,-0.43
163,02/18/2022,0.0,-0.65
164,02/19/2020,,0.48
165,02/19/2021,0.0,-0.18
166,02/20/2020,,-0.41
167,02/20/2024,-3.39,-0.55
168,02/21/2020,,-1.03
169,02/21/2023,-6.98,-2.01
170,02/21/2024,4.39,0.09
171,02/22/2021,-0.69,-0.77
172,02/22/2022,0.2,-1.07
173,02/22/2023,-6.61,-0.14
174,02/22/2024,13.03,2.07
175,02/23/2021,1.29,0.12
176,02/23/2022,0.0,-1.77
177,02/23/2023,-0.64,0.53
178,02/23/2024,-3.35,0.07
179,02/24/2020,,-3.32
180,02/24/2021,-0.39,1.1
181,02/24/2022,0.0,1.5
182,02/24/2023,-23.79,-1.07
183,02/25/2020,,-3.03
184,02/25/2021,-0.29,-2.41
185,02/25/2022,0.0,2.21
186,02/26/2020,,-0.37
187,02/26/2021,-0.59,-0.52
188,02/26/2024,26.15,-0.37
189,02/27/2020,,-4.49
190,02/27/2023,-4.46,0.34
191,02/27/2024,73.78,0.19
192,02/28/2020,,-0.42
193,02/28/2022,0.0,-0.26
194,02/28/2023,-6.22,-0.37
195,02/28/2024,-30.18,-0.13
196,02/29/2024,-21.36,0.36
197,03/01/2021,-0.3,2.42
198,03/01/2022,-0.1,-1.52
199,03/01/2023,0.0,-0.38
200,03/01/2024,-4.15,0.94
201,03/02/2020,,4.33
202,03/02/2021,-1.29,-0.78
203,03/02/2022,-0.1,1.84
204,03/02/2023,3.79,0.78
205,03/03/2020,,-2.86
206,03/03/2021,-0.3,-1.32
207,03/03/2022,0.0,-0.5
208,03/03/2023,9.59,1.6
209,03/04/2020,,4.2
